Date,Open,High,Low,Close,Volume,Adj Close
2014-01-09,1914.92004,1916.80005,1893.62,1899.77002,000,1899.77002
2014-01-08,1903.45996,1915.54004,1899.06006,1912.25,000,1912.25
2014-01-07,1883.43005,1900.16003,1880.84998,1897.70996,000,1897.70996
2014-01-06,1885.10999,1886.45996,1872.18994,1876.45996,000,1876.45996
2014-01-03,1887.16003,1891.54004,1876.91003,1883.20996,000,1883.20996
2014-01-02,1897.31006,1897.38,1881.52002,1886.81006,000,1886.81006
2013-12-31,1903.84998,1911.53003,1901.69995,1910.92004,000,1910.92004
2013-12-30,1894.14001,1902.81006,1891.30005,1899.69995,000,1899.69995
2013-12-27,1898.31995,1901.73999,1894.00,1895.44995,000,1895.44995
2013-12-26,1897.80005,1899.50,1893.21997,1895.09998,000,1895.09998
2013-12-24,1890.73999,1895.25,1890.47998,1894.05005,000,1894.05005
2013-12-23,1883.07996,1890.65002,1879.18994,1890.33997,000,1890.33997
2013-12-20,1854.02002,1875.38,1854.02002,1872.83997,000,1872.83997
2013-12-19,1856.41003,1857.04004,1845.18005,1851.96997,000,1851.96997
2013-12-18,1844.06006,1861.39001,1817.98999,1860.96997,000,1860.96997
2013-12-17,1833.19995,1852.82996,1833.19995,1846.70996,000,1846.70996
2013-12-16,1830.20996,1841.02002,1829.75,1833.32996,000,1833.32996
2013-12-13,1820.42004,1823.51001,1814.81995,1819.89001,000,1819.89001
2013-12-12,1819.17004,1821.27002,1806.18005,1807.90002,000,1807.90002
2013-12-11,1842.70996,1845.18994,1815.64001,1817.89001,000,1817.89001
2013-12-10,1838.01001,1846.70996,1834.79004,1843.21997,000,1843.21997
2013-12-09,1838.32996,1844.95996,1835.41003,1839.42004,000,1839.42004
2013-12-06,1837.48999,1839.00,1827.80005,1837.12,000,1837.12
2013-12-05,1819.43994,1823.48999,1813.37,1817.30005,000,1817.30005
2013-12-04,1804.21997,1822.21997,1803.08997,1817.38,000,1817.38
2013-12-03,1806.41003,1816.87,1805.02002,1813.02002,000,1813.02002
2013-12-02,1813.83997,1817.80005,1808.73999,1810.80005,000,1810.80005
2013-11-29,1813.00,1817.15002,1810.54004,1812.46997,000,1812.46997
2013-11-27,1801.78003,1811.50,1798.93005,1810.92004,000,1810.92004
2013-11-26,1796.38,1805.93994,1790.05005,1802.33997,000,1802.33997
2013-11-25,1804.91003,1805.79004,1791.75,1798.16003,000,1798.16003
2013-11-22,1798.75,1802.06006,1795.87,1801.93994,000,1801.93994
2013-11-21,1786.63,1801.96997,1783.54004,1800.45996,000,1800.45996
