 
                                                                                                                                                                                                                                                                
 
  PERMNO        date    COMNAM                                 TICKER               PRC           VOL     SHROUT
   14593    20090220    APPLE INC                              AAPL            91.20000      28440805     890554
   14593    20090223    APPLE INC                              AAPL            86.95000      29622983     890554
   14593    20090224    APPLE INC                              AAPL            90.25000      30340498     890554
   14593    20090225    APPLE INC                              AAPL            91.16000      31196133     890554
   14593    20090226    APPLE INC                              AAPL            89.19000      23709510     890554
   14593    20090227    APPLE INC                              AAPL            89.31000      26573363     890554
   14593    20090302    APPLE INC                              AAPL            87.94000      28900844     890554
   14593    20090303    APPLE INC                              AAPL            88.37000      27389295     890554
   14593    20090304    APPLE INC                              AAPL            91.17000      27721665     890554
   14593    20090305    APPLE INC                              AAPL            88.84000      26510028     890554
   14593    20090306    APPLE INC                              AAPL            85.30000      37776065     890554
   14593    20090309    APPLE INC                              AAPL            83.11000      26092492     890554
   14593    20090310    APPLE INC                              AAPL            88.62750      31167596     890554
   14593    20090311    APPLE INC                              AAPL            92.68000      31553949     890554
   14593    20090312    APPLE INC                              AAPL            96.35000      28554097     890554
   14593    20090313    APPLE INC                              AAPL            95.93000      22435138     890554
   14593    20090316    APPLE INC                              AAPL            95.42000      29679984     890554
   14593    20090317    APPLE INC                              AAPL            99.66000      29338622     890554
   14593    20090318    APPLE INC                              AAPL           101.52000      29478244     890554
   14593    20090319    APPLE INC                              AAPL           101.62000      18568051     890554
   14593    20090320    APPLE INC                              AAPL           101.59000      25594662     890554
   14593    20090323    APPLE INC                              AAPL           107.66000      24617528     890554
   14593    20090324    APPLE INC                              AAPL           106.50100      23680011     890554
   14593    20090325    APPLE INC                              AAPL           106.49000      23734992     890554
   14593    20090326    APPLE INC                              AAPL           109.87000      22591744     890554
   14593    20090327    APPLE INC                              AAPL           106.85000      18071472     892110
   14593    20090330    APPLE INC                              AAPL           104.49000      18576834     892110
   14593    20090331    APPLE INC                              AAPL           105.12000      20843119     892110
   14593    20090401    APPLE INC                              AAPL           108.69000      21813026     892110
   14593    20090402    APPLE INC                              AAPL           112.71000      29950025     892110
   14593    20090403    APPLE INC                              AAPL           115.99000      23406369     892110
   14593    20090406    APPLE INC                              AAPL           118.45000      24067292     892110
   14593    20090407    APPLE INC                              AAPL           115.00000      19679827     892110
   14593    20090408    APPLE INC                              AAPL           116.32000      16633862     892110
   14593    20090409    APPLE INC                              AAPL           119.57000      19455816     892110
   14593    20090413    APPLE INC                              AAPL           120.22000      14289008     892110
   14593    20090414    APPLE INC                              AAPL           118.31000      16697580     892110
   14593    20090415    APPLE INC                              AAPL           117.64000      15207661     892110
   14593    20090416    APPLE INC                              AAPL           121.45000      21836961     892110
   14593    20090417    APPLE INC                              AAPL           123.42000      18194767     892110
   14593    20090420    APPLE INC                              AAPL           120.50000      17130187     892110
   14593    20090421    APPLE INC                              AAPL           121.76000      17272563     892110
   14593    20090422    APPLE INC                              AAPL           121.51000      34462792     892110
   14593    20090423    APPLE INC                              AAPL           125.40000      34780643     892110
   14593    20090424    APPLE INC                              AAPL           123.90000      19847935     892110
   14593    20090427    APPLE INC                              AAPL           124.73000      17561888     892110
   14593    20090428    APPLE INC                              AAPL           123.90200      16704883     892110
   14593    20090429    APPLE INC                              AAPL           125.14000      16814824     892110
   14593    20090430    APPLE INC                              AAPL           125.83000      18248716     892110
   14593    20090501    APPLE INC                              AAPL           127.24000      14552561     892110
   14593    20090504    APPLE INC                              AAPL           132.07001      22237122     892110
   14593    20090505    APPLE INC                              AAPL           132.71001      14597973     892110
   14593    20090506    APPLE INC                              AAPL           132.50000      17366185     892110
   14593    20090507    APPLE INC                              AAPL           129.06000      19529515     892110
   14593    20090508    APPLE INC                              AAPL           129.19000      17201193     892110
   14593    20090511    APPLE INC                              AAPL           129.57001      15026467     892110
   14593    20090512    APPLE INC                              AAPL           124.42000      22275100     892110
   14593    20090513    APPLE INC                              AAPL           119.49000      21824589     892110
   14593    20090514    APPLE INC                              AAPL           122.95000      16389144     892110
   14593    20090515    APPLE INC                              AAPL           122.42000      13402397     892110
   14593    20090518    APPLE INC                              AAPL           126.65000      16800720     892110
   14593    20090519    APPLE INC                              AAPL           127.45000      13634603     892110
   14593    20090520    APPLE INC                              AAPL           125.87000      14255634     892110
   14593    20090521    APPLE INC                              AAPL           124.18000      14971036     892110
   14593    20090522    APPLE INC                              AAPL           122.50000      10735102     892110
   14593    20090526    APPLE INC                              AAPL           130.78000      23309923     892110
   14593    20090527    APPLE INC                              AAPL           133.05000      23715964     892110
   14593    20090528    APPLE INC                              AAPL           135.07001      18010434     892110
   14593    20090529    APPLE INC                              AAPL           135.81000      16735245     892110
   14593    20090601    APPLE INC                              AAPL           139.35001      16721281     892110
   14593    20090602    APPLE INC                              AAPL           139.49001      16765453     892110
   14593    20090603    APPLE INC                              AAPL           140.95000      20735207     892110
   14593    20090604    APPLE INC                              AAPL           143.74001      20206084     892110
   14593    20090605    APPLE INC                              AAPL           144.67000      23120158     892110
   14593    20090608    APPLE INC                              AAPL           143.85001      34013808     892110
   14593    20090609    APPLE INC                              AAPL           142.72000      24707422     892110
   14593    20090610    APPLE INC                              AAPL           140.25000      25125961     892110
   14593    20090611    APPLE INC                              AAPL           139.95000      19209160     892110
   14593    20090612    APPLE INC                              AAPL           136.97000      20569502     892110
   14593    20090615    APPLE INC                              AAPL           136.09000      19828881     892110
   14593    20090616    APPLE INC                              AAPL           136.35001      18817405     892110
   14593    20090617    APPLE INC                              AAPL           135.58000      20932273     892110
   14593    20090618    APPLE INC                              AAPL           135.88000      15640930     892110
   14593    20090619    APPLE INC                              AAPL           139.48000      26191689     892110
   14593    20090622    APPLE INC                              AAPL           137.37000      23837337     892110
   14593    20090623    APPLE INC                              AAPL           134.00999      25749667     892110
   14593    20090624    APPLE INC                              AAPL           136.22000      17762336     892110
   14593    20090625    APPLE INC                              AAPL           139.86000      21528208     892110
   14593    20090626    APPLE INC                              AAPL           142.44000      15992311     895735
   14593    20090629    APPLE INC                              AAPL           141.97000      20650382     895735
   14593    20090630    APPLE INC                              AAPL           142.42999      15884495     895735
   14593    20090701    APPLE INC                              AAPL           142.83000      15125951     895735
   14593    20090702    APPLE INC                              AAPL           140.02000      13592504     895735
   14593    20090706    APPLE INC                              AAPL           138.61000      18244063     895735
   14593    20090707    APPLE INC                              AAPL           135.39999      16903107     895735
   14593    20090708    APPLE INC                              AAPL           137.22000      20568860     895735
   14593    20090709    APPLE INC                              AAPL           136.36000      12561598     895735
   14593    20090710    APPLE INC                              AAPL           138.52000      16235240     895735
   14593    20090713    APPLE INC                              AAPL           142.34000      17675846     895817
   14593    20090714    APPLE INC                              AAPL           142.27000      12714929     895817
   14593    20090715    APPLE INC                              AAPL           146.88000      17786955     895817
   14593    20090716    APPLE INC                              AAPL           147.52000      14420042     895817
   14593    20090717    APPLE INC                              AAPL           151.75000      21920125     895817
   14593    20090720    APPLE INC                              AAPL           152.90900      26927994     895817
   14593    20090721    APPLE INC                              AAPL           151.50999      32140395     895817
   14593    20090722    APPLE INC                              AAPL           156.74001      31924947     895817
   14593    20090723    APPLE INC                              AAPL           157.82001      19370720     895817
   14593    20090724    APPLE INC                              AAPL           159.98599      16088548     895817
   14593    20090727    APPLE INC                              AAPL           160.10001      15934327     895817
   14593    20090728    APPLE INC                              AAPL           160.00000      13400012     895817
   14593    20090729    APPLE INC                              AAPL           160.03000      14067137     895817
   14593    20090730    APPLE INC                              AAPL           162.78999      17254632     895817
   14593    20090731    APPLE INC                              AAPL           163.39000      15523286     895817
   14593    20090803    APPLE INC                              AAPL           166.42999      14540003     895817
   14593    20090804    APPLE INC                              AAPL           165.55000      14535467     895817
   14593    20090805    APPLE INC                              AAPL           165.11000      15532757     895817
   14593    20090806    APPLE INC                              AAPL           163.91000      12692841     895817
   14593    20090807    APPLE INC                              AAPL           165.50999      14249019     895817
   14593    20090810    APPLE INC                              AAPL           164.72000      11021739     895817
   14593    20090811    APPLE INC                              AAPL           162.83000      13080983     895817
   14593    20090812    APPLE INC                              AAPL           165.31000      16453915     895817
   14593    20090813    APPLE INC                              AAPL           168.42000      16158539     895817
   14593    20090814    APPLE INC                              AAPL           166.78000      11385389     895817
   14593    20090817    APPLE INC                              AAPL           159.59000      19321600     895817
   14593    20090818    APPLE INC                              AAPL           164.00000      15896488     895817
   14593    20090819    APPLE INC                              AAPL           164.60001      15174133     895817
   14593    20090820    APPLE INC                              AAPL           166.33000      12625755     895817
   14593    20090821    APPLE INC                              AAPL           169.22000      15323785     895817
   14593    20090824    APPLE INC                              AAPL           169.06000      14993932     895817
   14593    20090825    APPLE INC                              AAPL           169.39999      12000565     895817
   14593    20090826    APPLE INC                              AAPL           167.41000      11198890     895817
   14593    20090827    APPLE INC                              AAPL           169.45000      16536488     895817
   14593    20090828    APPLE INC                              AAPL           170.05000      16800230     895817
   14593    20090831    APPLE INC                              AAPL           168.21001      11533708     895817
   14593    20090901    APPLE INC                              AAPL           165.29800      17402452     895817
   14593    20090902    APPLE INC                              AAPL           165.17999      13500939     895817
   14593    20090903    APPLE INC                              AAPL           166.55000      10887329     895817
   14593    20090904    APPLE INC                              AAPL           170.31000      13841488     895817
   14593    20090908    APPLE INC                              AAPL           172.92999      11656913     895817
   14593    20090909    APPLE INC                              AAPL           171.14000      29748224     895817
   14593    20090910    APPLE INC                              AAPL           172.56000      18012278     895817
   14593    20090911    APPLE INC                              AAPL           172.16000      12869536     895817
   14593    20090914    APPLE INC                              AAPL           173.72000      11841184     895817
   14593    20090915    APPLE INC                              AAPL           175.16000      15655918     895817
   14593    20090916    APPLE INC                              AAPL           181.87000      27870584     895817
   14593    20090917    APPLE INC                              AAPL           184.55000      29737361     895817
   14593    20090918    APPLE INC                              AAPL           185.02000      22232767     895817
   14593    20090921    APPLE INC                              AAPL           184.02000      16497055     895817
   14593    20090922    APPLE INC                              AAPL           184.48000      13167615     895817
   14593    20090923    APPLE INC                              AAPL           185.50000      21960437     895817
   14593    20090924    APPLE INC                              AAPL           183.82001      20431442     895817
   14593    20090925    APPLE INC                              AAPL           182.37000      16551571     899806
   14593    20090928    APPLE INC                              AAPL           186.15190      12389128     899806
   14593    20090929    APPLE INC                              AAPL           185.38000      12713290     899806
   14593    20090930    APPLE INC                              AAPL           185.35001      19819227     899806
   14593    20091001    APPLE INC                              AAPL           180.85989      19487344     899806
   14593    20091002    APPLE INC                              AAPL           184.89999      20333745     899806
   14593    20091005    APPLE INC                              AAPL           186.02400      15587302     899806
   14593    20091006    APPLE INC                              AAPL           190.00999      22200391     899806
   14593    20091007    APPLE INC                              AAPL           190.25000      17117220     899806
   14593    20091008    APPLE INC                              AAPL           189.27000      16135109     899806
   14593    20091009    APPLE INC                              AAPL           190.47000      10947843     899806
   14593    20091012    APPLE INC                              AAPL           190.81000      10621697     899806
   14593    20091013    APPLE INC                              AAPL           190.02000      12811711     899806
   14593    20091014    APPLE INC                              AAPL           191.28999      13855022     899806
   14593    20091015    APPLE INC                              AAPL           190.56000      13729339     899806
   14593    20091016    APPLE INC                              AAPL           188.05000      15855882     900678
   14593    20091019    APPLE INC                              AAPL           189.86000      34974472     900678
   14593    20091020    APPLE INC                              AAPL           198.75999      41821115     900678
   14593    20091021    APPLE INC                              AAPL           204.92000      43761891     900678
   14593    20091022    APPLE INC                              AAPL           205.20000      28931800     900678
   14593    20091023    APPLE INC                              AAPL           203.94000      15402684     900678
   14593    20091026    APPLE INC                              AAPL           202.48000      17775639     900678
   14593    20091027    APPLE INC                              AAPL           197.37000      27756144     900678
   14593    20091028    APPLE INC                              AAPL           192.39999      29968494     900678
   14593    20091029    APPLE INC                              AAPL           196.35001      20938575     900678
   14593    20091030    APPLE INC                              AAPL           188.50000      26324004     900678
   14593    20091102    APPLE INC                              AAPL           189.31000      24944563     900678
   14593    20091103    APPLE INC                              AAPL           188.75000      19081933     900678
   14593    20091104    APPLE INC                              AAPL           190.81000      17834747     900678
   14593    20091105    APPLE INC                              AAPL           194.03011      14123464     900678
   14593    20091106    APPLE INC                              AAPL           194.34000      10829084     900678
   14593    20091109    APPLE INC                              AAPL           201.46001      19595641     900678
